rank,teamId,teamName,submissionDate,score
100,16692911,Zajacz,2026-08-12 14:48:56.040000,0.57116
101,16763417,hang zhao666,2026-08-31 09:15:14.510000,0.58569
102,16892832,Mateo Allmer,2026-09-21 08:00:29.636000,0.58910
103,16488580,yuki,2026-09-06 08:57:40.706000,0.59429
104,15526447,Jason Karpeles,2026-04-27 22:02:42.510000,0.59724
105,16689773,kitory Yeah やきとり,2026-08-15 10:55:52.443000,0.61053
106,16690925,NicolasCayuela,2026-08-16 08:06:00.740000,0.61136
107,16560265,PavelLiashkov,2026-07-19 04:19:41.833000,0.62168
108,16710348,Anh-Vu Mai-Nguyen,2026-09-21 06:02:49.443000,0.62696
109,16625812,Dennis,2026-08-06 08:38:05.913000,0.65443
110,16603825,Tys TANA,2026-09-18 03:19:35.600000,0.65587
111,16250053,tuko_tanzwoo,2026-06-18 17:02:51.270000,0.66179
112,16906636,Yassine Chritt,2026-09-17 02:55:29.640000,0.66731
113,16618539,Hutao715,2026-08-25 15:34:39.576000,0.66786
114,16865485,weekkkk,2026-09-17 13:06:58.783000,0.67466
115,15524824,DLTrack_0.3.1_benchmark_solution.csv,2026-03-31 13:28:39.076000,0.67944
116,16905366,Quincy Desnoyers,2026-09-18 12:59:14.863000,0.68010
117,16677999,UltraBoston,2026-08-10 00:58:13.410000,0.68186
118,15530540,Emre Cirak,2026-05-11 14:08:54.210000,0.69664
119,16745881,syouya tobita,2026-09-17 07:43:08.086000,0.70569
120,16505101,Baxter Barlow,2026-07-12 00:44:26.743000,0.71006
121,16340846,takitakii,2026-06-18 17:05:08.606000,0.71868
122,16915462,Rehab,2026-09-17 15:18:22.876000,0.72052
123,16831154,Степан Емельянов,2026-09-06 12:52:02.620000,0.72581
124,16718727,PARK HYUNSIK,2026-08-14 06:49:36.106000,0.73026
125,16141259,Pardheev Krishna,2026-06-08 06:29:40.503000,0.73101
126,16915819,Kagggle User,2026-09-17 17:57:14.586000,0.73412
127,16550639,Bull,2026-08-01 01:37:12.030000,0.73792
128,16867862,frogsilverberryleoi,2026-09-11 01:47:59.386000,0.74086
129,16792018,Satrio Hanif Wicaksono,2026-09-02 23:18:06.960000,0.74414
130,15597573,UIT_PQC,2026-04-21 15:28:26.706000,0.74711
131,15604289,Cường Phạm Quốc,2026-05-28 02:21:07.963000,0.74765
132,16251367,Shamima Hossain,2026-09-18 17:59:26.280000,0.75306
133,16795960,DöniMesor,2026-09-01 18:14:02.136000,0.76122
134,16717339,e12404710,2026-08-14 15:39:21.296000,0.76693
135,16609928,Fususu,2026-08-05 08:16:08.590000,0.76704
136,15531372,ömer kiraz,2026-08-05 09:09:08.966000,0.76704
137,15528333,Jeki Wan Taufik,2026-08-07 07:10:20.976000,0.76704
138,15563418,JinchengZhang1,2026-08-09 03:00:40.243000,0.76704
139,16740193,Joanna C.,2026-08-19 15:35:52.910000,0.76704
140,16641302,Harmain Mughal,2026-08-08 10:04:33.110000,0.76767
141,16785915,Erik Tavares,2026-08-30 01:34:54.776000,0.76813
142,16913932,armaan,2026-09-17 14:18:35.423000,0.77239
143,16743190,Xiaolei Lian,2026-09-02 13:37:05.783000,0.77582
144,15582668,Mohit,2026-08-05 00:00:05.240000,0.77645
145,16853326,Tasuku Kera,2026-09-13 04:40:40.520000,0.78284
146,15601614,Riccardo Santi rs,2026-07-18 09:51:08.710000,0.79744
147,16725526,Felix Ericsson,2026-08-28 18:19:11.556000,0.80259
148,16782096,jdarangog,2026-09-01 14:11:27.563000,0.81802
149,15549865,Hanif Noer Rofiq,2026-05-19 18:23:26.986000,0.82307
150,16314623,shinya kaneda,2026-06-16 13:04:06.076000,0.83067
151,16825594,we are batman,2026-09-09 07:23:01.133000,0.85193
152,16718507,KLAUS  SAMSON,2026-08-18 19:15:49.333000,0.86791
153,16430227,Malitha Gunawardhana,2026-07-18 08:16:02.030000,0.87135
154,16440958,Master_1996,2026-07-13 07:59:45.776000,0.87253
155,16908166,Milemir,2026-09-21 01:40:38.636000,0.89686
156,16225257,Uche Ozoemena,2026-06-28 14:08:53.196000,0.89723
157,15658141,Roy Nikolaus,2026-05-21 03:11:27.636000,0.90659
158,16859405,Soheil Kooklan,2026-09-20 21:18:13.560000,0.92233
159,16882395,Gaddam ShivaTeja,2026-09-14 06:50:37.280000,0.92533
160,16722435,Alexandru Țigău,2026-08-23 20:37:55.730000,0.92910
161,15734099,Yeyang,2026-04-26 13:12:45.823000,0.93419
162,16272628,Raul Sîmpetru,2026-06-09 10:00:19.383000,0.95352
163,15971033,Suguru02,2026-05-20 13:26:29.753000,0.95801
164,16814767,wytyKen,2026-09-07 06:50:10.346000,0.96902
165,15534866,Fernandosr85,2026-07-23 00:38:16.530000,0.97691
166,16650897,Pones_kaggle,2026-08-06 14:59:32.976000,0.98330
167,16436569,Blue,2026-06-28 09:25:55.063000,0.98768
168,16681592,mucahitrtn,2026-08-17 13:00:58.703000,1.00490
169,15902920,Master Teo,2026-05-10 22:34:34.853000,1.00515
170,15976351,Gaurav Upreti,2026-09-15 20:08:46.026000,1.01535
171,16247735,ABC,2026-06-07 10:04:32.463000,1.01799
172,16880984,Manurupan M,2026-09-12 18:17:09.346000,1.03662
173,16429073,az.shaoon,2026-06-26 06:22:16.813000,1.03740
174,16759013,HumbleHumbert,2026-08-22 14:54:31.410000,1.03740
175,16879589,jj zhang51,2026-09-21 03:51:46.313000,1.03787
176,16734646,suminshim,2026-08-22 19:10:33.526000,1.04759
177,15539990,Creatine supplement🏋️🏋🏿‍♀️,2026-04-16 11:25:07.953000,1.04830
178,16841974,Aadit Agrawal,2026-09-06 04:14:07.300000,1.05081
179,15566633,Jonas M.,2026-04-27 07:23:25.156000,1.05529
180,16763135,sowhatwillwelearn,2026-09-01 14:18:13.200000,1.06001
181,16904191,Ben Hamilton,2026-09-16 06:07:55.680000,1.06849
182,16881677,xx lin,2026-09-12 20:44:08.380000,1.08503
183,16842241,Luis Garza Gonzalez,2026-09-18 00:06:10.210000,1.09114
184,16841704,oishe,2026-09-06 03:00:40.850000,1.09232
185,15526770,Andrew Lee,2026-04-05 17:08:25.423000,1.09451
186,16665385,arnab sahu,2026-08-05 08:44:30.930000,1.10159
187,16690973,Shriyansh Patnaik,2026-08-09 07:56:14.963000,1.10788
188,15704883,moeuuu,2026-05-21 10:05:36.043000,1.11684
189,16768513,Juan Neira,2026-09-18 14:00:56.840000,1.11722
190,16809435,aashka,2026-09-09 13:22:43.196000,1.12556
191,16652439,Talha Celik,2026-08-05 13:45:17.980000,1.13131
192,16093674,Vandit,2026-06-12 20:15:33.866000,1.15113
193,16740108,Norman Neira,2026-09-04 16:26:41.390000,1.15714
194,16693121,Sai Teja Bandaru,2026-08-09 23:00:29.026000,1.16096
195,16711454,FasterYouChase FasterIRun,2026-08-12 08:35:21.300000,1.16169
196,16189435,Advait Sajith,2026-08-23 16:47:17.010000,1.17484
197,15982772,Abinayan Anantharuban,2026-06-14 13:42:13.426000,1.17692
198,15591277,Randy Harvey,2026-04-10 23:12:33.400000,1.18081
199,15837665,bsenst,2026-08-06 15:32:49.020000,1.19404
200,16268169,yunfeng z,2026-06-15 06:30:16.326000,1.20205
201,16750498,Samer Attrah,2026-09-18 19:11:28.023000,1.20982
202,16280383,Abdulsamad,2026-06-17 07:56:58.883000,1.21745
203,15544365,AmbrosM,2026-04-10 18:56:20.023000,1.22094
204,15583202,Srishanth Sriramula,2026-04-14 17:25:21.630000,1.25016
205,16685375,xuyixiao,2026-08-08 05:25:25.976000,1.25448
206,16493989,Kendall and Styves,2026-07-08 19:25:44.530000,1.26563
207,16868024,Aso Baneen,2026-09-10 17:28:08.326000,1.26742
208,16561828,kmn,2026-07-24 14:25:59.600000,1.28840
209,16556258,Ngọc Hưng Nguyễn,2026-07-18 08:02:15.396000,1.29115
210,16277577,Nitin Dagar,2026-06-12 00:02:17.343000,1.32505
211,16880286,sujeeravi,2026-09-12 10:14:51.753000,1.32704
212,15535208,Alex Li,2026-04-02 03:12:04.906000,1.33518
213,15585904,BhargavaAbhi,2026-05-18 18:30:52.606000,1.33851
214,15530828,Lakhindar Pal,2026-04-26 02:40:58.993000,1.33851
215,15553065,Adi Kusuma,2026-06-12 02:41:01.706000,1.33851
216,16450831,The Coder Geek Squad Leader,2026-07-04 20:55:51.013000,1.33851
217,16611125,myab07,2026-07-30 10:36:08.043000,1.33851
218,16823711,Dimitri ZABRE,2026-09-03 22:21:48.370000,1.33851
219,16932471,Ankur Agarwal,2026-09-21 03:38:49.150000,1.33851
220,16859414,Bejjala Mani Sai Teja,2026-09-09 10:09:40.366000,1.34739
221,16893714,Jorge Paez,2026-09-17 04:38:23.773000,1.35592
222,16622332,[Deleted] 106810ea-ca02-4a2e-bdfb-506612b84e3d,2026-08-21 08:39:09.833000,1.39171
223,16869952,nk,2026-09-21 00:57:45.403000,1.39705
224,16231514,Shiv Satyam,2026-06-04 21:56:46.846000,1.43312
225,15585091,Tony,2026-05-14 12:14:54.676000,1.43474
226,16619870,Gnach Deraj,2026-09-18 07:08:47.846000,1.44348
227,15567401,Marco DG,2026-04-12 07:10:03.713000,1.45962
228,15613456,Karearea,2026-04-27 09:42:01.796000,1.47894
229,16387943,Accer_sz,2026-06-19 08:11:38.446000,1.48427
230,16778880,Kishore Baskar,2026-08-27 08:48:36.640000,1.50434
231,15526164,Leon Górecki,2026-04-01 08:21:40.460000,1.51156
232,16876398,Abu Kayyisah Basyid,2026-09-20 10:43:55.013000,1.53465
233,16802181,arman1o1,2026-09-01 10:04:54.370000,1.56038
234,16263985,Atsu40725,2026-06-08 09:23:49.973000,1.59625
235,16828478,mech iyad,2026-09-15 11:00:40.650000,1.59940
236,16428594,Danielle Lesin,2026-06-24 18:43:34.970000,1.60024
237,15586987,093_이민재,2026-04-10 01:47:57.776000,1.60559
238,16080672,Quang Minh Lê 227,2026-05-27 08:45:41.730000,1.60764
239,16211038,ARJUN A S,2026-06-17 10:14:27.260000,1.62129
240,15539470,Niaz Mahmud,2026-04-07 11:45:56.086000,1.67783
241,16811753,Ariana112,2026-09-04 01:38:46.040000,1.67856
242,16532226,Kalyana Dinesh,2026-07-28 20:23:07.300000,1.68306
243,15604705,Yu_Krxfo _,2026-04-14 02:23:11.060000,1.69410
244,16785944,Amr_Said1233,2026-08-29 16:32:16.800000,1.82273
245,16785384,Jerónimo Paiva,2026-08-31 04:29:54.940000,1.82893
246,16853273,OsakanaTeishoku,2026-09-13 06:09:48.756000,1.84470
247,16868116,André Luiz Pedroso,2026-09-18 13:26:15.766000,1.87066
248,15555339,hideaki_mizoue,2026-04-04 17:03:41.820000,1.87113
249,15572702,Abhishek Prithvi Teja,2026-04-07 17:38:33.710000,1.87113
250,15587286,Kyaw Htin Aung,2026-08-28 08:18:13.800000,1.87113
251,16061190,"Trí Huy, Ngô",2026-05-26 12:37:43.950000,1.87113
252,16424404,Vlad Balanda,2026-06-23 23:49:29.150000,1.87113
253,16607346,shreyas sangalad,2026-07-28 01:47:56.080000,1.90096
254,16064215,Mythri V,2026-06-01 13:42:37.016000,1.90208
255,16694423,NGUYỄN VĂN QUANG TRƯỜNG,2026-08-27 08:34:39.410000,1.96473
256,16614255,Titanic,2026-09-20 15:17:02.823000,2.03324
257,16791291,jfmuenchau,2026-09-02 19:56:12.820000,2.33491
258,16786385,Thanawat Nawan,2026-08-29 12:00:03.013000,2.34362
259,15569738,yanis_lou,2026-04-07 08:52:09.503000,2.37445
260,16278107,hill le,2026-06-28 01:53:09.456000,2.37996
261,15554227,cg,2026-04-05 11:54:31.026000,2.41344
262,16600188,沼里太誠,2026-07-26 06:09:35.596000,2.41344
263,15569506,ZAOUI_Yassine,2026-09-04 14:38:53.163000,2.50279
264,16563699,Mohammed Imad,2026-07-19 16:56:36.353000,2.73211
265,16698021,Rids08,2026-09-07 22:42:38.320000,2.76523
266,15594655,Sathya Narayanan 8,2026-04-27 18:03:40.293000,2.88089
267,15544148,Padmini Pivatidevi Pareatumbee,2026-09-20 16:33:58.760000,2.93885
268,16751749,UniverseAwaken,2026-09-02 15:16:25.753000,3.06875
269,16640426,Ibrat Usmonov,2026-09-20 17:19:41.700000,3.21165
270,16827207,Ashok Kumar Garain,2026-09-04 07:43:58.603000,3.28146
271,16635085,Gianluca Mondillo,2026-08-01 08:30:31.876000,3.32301
272,16872789,Chaitanya Jamble,2026-09-15 06:26:46.576000,3.57987
273,15673374,Bohatyrenko Victor,2026-04-22 17:48:16.460000,4.14174
274,15606495,Tejas Akade MD23B002,2026-04-17 05:58:38.613000,4.55614
275,16782255,Trần Văn Tuân,2026-09-03 15:31:14.500000,4.64038
276,15587649,fzhhahah,2026-04-10 05:31:41.906000,5.12207
277,15570285,Julien bertas,2026-04-08 16:20:45.206000,5.44652
278,16622317,Atharv,2026-08-03 21:00:18.226000,5.54524
279,16885618,Berkay Karabulut,2026-09-13 16:36:45.876000,5.91625
280,15578654,adrian drischoff,2026-04-08 16:50:52.390000,6.15939
281,15699038,Skipar,2026-04-29 15:57:35.573000,7.55649
282,16823381,Muhammad Haaris 27083,2026-09-04 03:48:17.106000,7.70601
283,15529959,ParkJuHeon,2026-04-05 20:24:24.966000,31.19656
