Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
197,16802181,arman1o1,"2026-09-01 10:04:54",1.56038,1,arman1o1
198,16263985,Atsu40725,"2026-06-08 09:23:49",1.59625,1,atsu40725
199,16428594,"Danielle Lesin","2026-06-24 18:43:34",1.60024,5,ladyfaye
200,15586987,093_이민재,"2026-04-10 01:47:57",1.60559,1,dannyahn1
201,16080672,"Quang Minh Lê 227","2026-05-27 08:45:41",1.60764,1,quangminhl227
202,16211038,"ARJUN A S","2026-06-17 10:14:27",1.62129,12,kuranashi
203,15539470,"Niaz Mahmud","2026-04-07 11:45:56",1.67783,1,niazmahmud0201
204,16811753,Ariana112,"2026-09-04 01:38:46",1.67856,4,ariana112
205,16532226,"Kalyana Dinesh","2026-07-28 20:23:07",1.68306,2,kalyanadinesh
206,15604705,"Yu_Krxfo _","2026-04-14 02:23:11",1.69410,5,yukrxfo
207,16828478,"mech iyad","2026-09-12 12:32:06",1.70133,13,mechiyad
208,16785944,Amr_Said1233,"2026-08-29 16:32:16",1.82273,5,amrsaid1233
209,16785384,"Jerónimo Paiva","2026-08-31 04:29:54",1.82893,1,jernimopaiva
210,16853273,OsakanaTeishoku,"2026-09-13 06:09:48",1.84470,1,osakanateishoku
211,16868116,"André Luiz Pedroso","2026-09-10 18:45:12",1.87066,1,andreluizpedroso
212,15555339,hideaki_mizoue,"2026-04-04 17:03:41",1.87113,5,hideakimizoue
213,15572702,"Abhishek Prithvi Teja","2026-04-07 17:38:33",1.87113,1,prithvi1029
214,15587286,"Kyaw Htin Aung","2026-08-28 08:18:13",1.87113,15,kyawhtinaung
215,16061190,"Trí Huy, Ngô","2026-05-26 12:37:43",1.87113,2,trhuyng
216,16424404,"Vlad Balanda","2026-06-23 23:49:29",1.87113,1,bankhv
217,16607346,"shreyas sangalad","2026-07-28 01:47:56",1.90096,2,spoortisangalad
218,16064215,"Mythri V","2026-06-01 13:42:37",1.90208,4,mythriv
219,16694423,"NGUYỄN VĂN QUANG TRƯỜNG","2026-08-27 08:34:39",1.96473,10,nguynvnquangtrng
220,16876398,"Abu Kayyisah Basyid","2026-09-13 09:02:58",2.26284,9,abukayyisahbasyid
221,16791291,jfmuenchau,"2026-09-02 19:56:12",2.33491,2,jfmuenchau
222,16786385,"Thanawat Nawan","2026-08-29 12:00:03",2.34362,2,thanawatnawan
223,15569738,yanis_lou,"2026-04-07 08:52:09",2.37445,5,yanislou
224,16278107,"hill le","2026-06-28 01:53:09",2.37996,15,lecongminhhieu
225,15554227,cg,"2026-04-05 11:54:31",2.41344,1,chaitanyagarg2
226,16600188,沼里太誠,"2026-07-26 06:09:35",2.41344,2,numaritaisei
227,15569506,ZAOUI_Yassine,"2026-09-04 14:38:53",2.50279,26,zaouiyassine
228,16563699,"Mohammed Imad","2026-07-19 16:56:36",2.73211,4,moee2003
229,16698021,Rids08,"2026-09-07 22:42:38",2.76523,4,rids08
230,15594655,"Sathya Narayanan 8","2026-04-27 18:03:40",2.88089,3,sathyanarayanan8
231,16751749,UniverseAwaken,"2026-09-02 15:16:25",3.06875,33,universeawaken
232,16614255,Titanic,"2026-08-21 05:41:40",3.16896,1,"jeevasidarth,mohulaprasath,pandikabileshp"
233,16640426,"Ibrat Usmonov","2026-08-02 09:19:21",3.21165,1,ibratusmonov
234,16827207,"Ashok Kumar Garain","2026-09-04 07:43:58",3.28146,1,ashokkumargarain
235,16635085,"Gianluca Mondillo","2026-08-01 08:30:31",3.32301,5,gianlucamondillo
236,15673374,"Bohatyrenko Victor","2026-04-22 17:48:16",4.14174,6,bohatyrenkovictor
237,15606495,"Tejas Akade MD23B002","2026-04-17 05:58:38",4.55614,3,tejasakade395
238,16782255,"Trần Văn Tuân","2026-09-03 15:31:14",4.64038,1,tonirighthere
239,15587649,fzhhahah,"2026-04-10 05:31:41",5.12207,1,fzhhahah
240,15570285,"Julien bertas","2026-04-08 16:20:45",5.44652,10,julienbertas
241,16622317,"Atharv ","2026-08-03 21:00:18",5.54524,4,atharvgaur18
242,16885618,"Berkay Karabulut","2026-09-13 16:36:45",5.91625,2,berkaykarabulut
243,15578654,"adrian drischoff","2026-04-08 16:50:52",6.15939,5,adriandrischoff
244,15699038,Skipar,"2026-04-29 15:57:35",7.55649,2,skipar
245,16823381,"Muhammad Haaris 27083","2026-09-04 03:48:17",7.70601,5,muhammadhaaris27083
246,15529959,ParkJuHeon,"2026-04-05 20:24:24",31.19656,1,parkjuheon
