image_id,h,w,apo_h,apo_w,pa_deg,mt_px,n_fasc,ok,note
image_0042,556,996,864,1152,8.13029993442804,200.28161103788113,9,True,blend
image_0043,556,996,864,1152,4.2831930633192865,202.34102121349315,11,True,blend
image_0044,556,996,864,1152,14.312140806915497,243.44328565871257,18,True,blend
image_0045,556,996,864,1152,11.053950032554603,212.3676777774869,20,True,blend
image_0046,556,996,864,1152,10.773590753906921,235.2221210482253,20,True,blend
image_0047,556,996,864,1152,12.557732203392511,209.14457612693292,20,True,blend
image_0048,556,996,864,1152,10.003034967619694,180.64723496584907,16,True,blend
image_0049,556,996,864,1152,13.881259338214836,249.04946012292,17,True,blend
image_0050,556,996,864,1152,10.811696354463349,232.70982349258566,19,True,blend
image_0051,556,996,864,1152,11.486711269671844,233.1570014700783,16,True,blend
image_0052,556,996,864,1152,6.461823303722225,191.5232962285213,14,True,blend
image_0053,556,996,864,1152,12.741421404682443,188.99720569596025,16,True,blend
image_0054,556,996,864,1152,12.543836720730171,158.28404742364228,17,True,blend
image_0055,556,996,864,1152,5.454691832343807,232.8934471985133,14,True,blend
image_0056,556,996,864,1152,10.490435014356224,212.3705854618763,19,True,blend
image_0057,556,996,864,1152,10.682058181210085,246.88495371004362,16,True,blend
image_0058,556,996,864,1152,11.072095417360584,199.59034339471714,15,True,blend
image_0059,556,996,864,1152,5.390000690187524,142.48511320874485,14,True,blend
image_0060,556,996,864,1152,9.006011031024169,211.6258180327608,17,True,blend
image_0061,556,996,864,1152,13.672280099756835,222.6377509501074,17,True,blend
image_0062,556,996,864,1152,13.741267857552439,295.1491795280948,19,True,blend
image_0063,556,996,864,1152,7.13406989290854,295.2856203282952,17,True,blend
image_0064,556,996,864,1152,4.900852026153952,176.98013706067576,13,True,blend
image_0065,556,996,864,1152,10.380506015514396,246.6543878338083,12,True,blend
image_0066,556,996,864,1152,11.220564901470397,231.34069151116876,17,True,blend
image_0067,556,996,864,1152,13.613778816151884,229.63517014996785,13,True,blend
image_0068,556,996,864,1152,9.232831968106957,211.7417402755892,17,True,blend
image_0069,556,996,864,1152,10.91921561306833,199.3360043510755,17,True,blend
image_0070,556,996,864,1152,7.685502742246457,212.6889534652356,25,True,blend
image_0071,556,996,864,1152,12.6547277624168,228.80125214589228,15,True,blend
image_0072,556,996,864,1152,6.86959428310336,218.3850820952066,15,True,blend
image_0073,556,996,864,1152,8.049349695277211,219.737119534498,20,True,blend
image_0074,556,996,864,1152,10.855856003692415,207.53403552504423,14,True,blend
image_0075,556,996,864,1152,9.586576675207887,217.1398574624658,17,True,blend
image_0076,556,996,864,1152,11.979129079483167,237.4381213740977,16,True,blend
image_0077,556,996,864,1152,14.939180755719995,237.8084538217348,20,True,blend
image_0078,556,996,864,1152,13.037109754302334,261.9963455521642,13,True,blend
image_0079,556,996,864,1152,9.566830730175624,263.6582198513686,15,True,blend
image_0080,556,996,864,1152,14.459182788310946,273.87381403484295,17,True,blend
image_0081,556,996,864,1152,13.564924099190819,238.80344964966199,18,True,blend
image_0082,556,996,864,1152,10.775487058917877,275.59422632551184,19,True,blend
image_0083,556,996,864,1152,12.794359216694293,226.156987999536,20,True,blend
image_0084,556,996,864,1152,7.059507181511371,222.731588651773,18,True,blend
image_0085,556,996,864,1152,9.3023618339335,209.47784913591263,18,True,blend
image_0086,556,996,864,1152,,221.9342039751227,0,False,no usable fascicle fragments
image_0087,556,996,864,1152,12.197977379139001,206.8151933308318,17,True,blend
image_0088,556,996,864,1152,7.718045482181982,211.79176382959682,20,True,blend
image_0089,556,996,864,1152,11.292304105019053,257.19227439013235,22,True,blend
image_0090,556,996,864,1152,8.51366922012689,288.61620491351897,21,True,blend
image_0091,556,996,864,1152,10.121368010312084,158.91590223092044,16,True,blend
image_0092,556,996,864,1152,11.763251221541424,262.8121522307285,18,True,blend
image_0093,556,996,864,1152,8.701944086859616,292.4367663384955,18,True,blend
image_0094,556,996,864,1152,7.657924002975552,278.0724519554937,19,True,blend
image_0095,556,996,864,1152,10.027554216056068,298.241676161359,19,True,blend
image_0096,556,996,864,1152,6.377436448896271,159.40879940583537,12,True,blend
image_0097,556,996,864,1152,9.425170912701066,218.1853450340134,18,True,blend
image_0098,556,996,864,1152,10.488325042906625,213.11822217824954,21,True,blend
image_0099,556,996,864,1152,13.889793619632275,232.38175505545564,18,True,blend
image_0100,556,996,864,1152,14.693349710098902,225.56000348123618,17,True,blend
image_0101,556,996,864,1152,10.940764595470435,208.40494064822076,22,True,blend
image_0102,556,996,864,1152,15.971946358440755,205.03019884229562,18,True,blend
image_0103,556,996,864,1152,13.996670040898076,246.9335477567429,20,True,blend
image_0104,556,996,864,1152,16.963662527064354,209.0416495579549,20,True,blend
image_0105,556,996,864,1152,11.035181976195645,217.22592637826736,12,True,blend
image_0106,556,996,864,1152,11.440098394739053,137.7694799939199,14,True,blend
image_0107,556,996,864,1152,14.301645957031297,193.90831521076643,14,True,blend
image_0108,556,996,864,1152,13.122253107183013,187.88329793174003,20,True,blend
image_0109,556,996,864,1152,16.08076677379701,221.61043760128254,16,True,blend
image_0110,556,996,864,1152,13.339891417856819,229.97436349430086,18,True,blend
image_0111,556,996,864,1152,13.450361885793757,211.96580910750325,19,True,blend
image_0112,556,996,864,1152,16.982002443207715,189.291995329458,15,True,blend
image_0113,556,996,864,1152,12.696209148659987,182.85543924921546,15,True,blend
image_0114,556,996,864,1152,15.547775789745947,194.06521863500927,14,True,blend
image_0115,556,996,864,1152,17.75772876524563,190.02253795483034,11,True,blend
image_0116,556,996,864,1152,15.31016577614942,183.3485987918394,12,True,blend
image_0117,556,996,864,1152,12.00478761723631,192.70928197151662,13,True,blend
image_0118,556,996,864,1152,13.917091482409326,208.2959523111182,17,True,blend
image_0119,556,996,864,1152,12.637738696280456,246.95828826304546,17,True,blend
image_0120,556,996,864,1152,13.747766178409083,225.66628175420414,18,True,blend
image_0121,556,996,864,1152,8.300800696076513,216.496581523975,23,True,blend
image_0122,556,996,864,1152,11.06544462490352,225.06726890789287,18,True,blend
image_0123,556,996,864,1152,13.670882037455751,217.9573345088768,21,True,blend
image_0124,556,996,864,1152,11.634224997680278,233.57817094071288,22,True,blend
image_0125,556,996,864,1152,5.950211884991023,173.6098939464768,21,True,blend
image_0126,556,996,864,1152,7.847290066000839,167.2449564284244,17,True,blend
image_0127,556,996,864,1152,11.397008644014265,220.17454139897927,17,True,blend
image_0128,556,996,864,1152,10.338242703066339,222.99692224415048,15,True,blend
image_0129,556,996,864,1152,15.542429595418572,209.5148280973136,16,True,blend
image_0130,556,996,864,1152,9.328356561987421,292.8095479061897,21,True,blend
image_0131,556,996,864,1152,12.137316429829411,281.8923485922057,9,True,blend
image_0132,556,996,864,1152,10.308320618804128,127.31937975772011,16,True,blend
image_0133,556,996,864,1152,6.42288611973961,244.27218576115055,18,True,blend
image_0134,556,996,864,1152,6.705492454922922,245.7035124657425,16,True,blend
image_0135,556,996,864,1152,10.686864032473535,253.5492411898235,14,True,blend
image_0136,556,996,864,1152,9.662118264218746,222.55475717908072,16,True,blend
image_0137,556,996,864,1152,3.69091643838906,187.4560154556084,10,True,trig
image_0138,556,996,864,1152,9.76052106125751,191.6283103330539,18,True,blend
image_0139,556,996,864,1152,12.484989511358112,202.75146976753203,11,True,blend
image_0140,556,996,864,1152,10.491859289792345,201.77450425238214,15,True,blend
image_0141,556,996,864,1152,12.677470482910692,189.9875583235812,16,True,blend
image_0142,556,996,864,1152,13.20801138687973,253.66493916165177,15,True,blend
image_0143,556,996,864,1152,11.19644756903626,196.55457786184934,13,True,blend
image_0144,556,996,864,1152,14.44952200639889,203.3921757406332,12,True,blend
image_0145,556,996,864,1152,7.60294756642494,148.4521944418777,13,True,blend
image_0146,556,996,864,1152,9.07291385871266,155.31528711073608,18,True,blend
image_0147,556,996,864,1152,7.853637770637581,176.12387511423003,16,True,blend
image_0148,556,996,864,1152,9.0541676940459,285.35656071904094,9,True,blend
image_0149,556,996,864,1152,13.0896704537858,300.07965339378603,12,True,blend
image_0150,556,996,864,1152,12.951094930161084,299.1050642721682,13,True,blend
image_0151,556,996,864,1152,13.472108470685079,271.26972210940625,10,True,blend
image_0152,556,996,864,1152,9.467844826431392,216.40129038587406,16,True,blend
image_0153,556,996,864,1152,10.103768536185513,178.57393228238922,18,True,blend
image_0154,556,996,864,1152,7.903840239684113,217.94675543626735,18,True,blend
image_0155,556,996,864,1152,10.019888332112625,235.54317374910485,16,True,blend
image_0156,556,996,864,1152,12.122668276291229,218.8857234228106,14,True,blend
image_0157,556,996,864,1152,7.469059195598083,180.2561309314965,15,True,blend
image_0158,556,996,864,1152,12.33814423877531,213.85457880972388,16,True,blend
image_0159,556,996,864,1152,8.782115786922315,182.1617155058616,16,True,blend
image_0160,556,996,864,1152,12.709146973570618,225.924658029862,18,True,blend
image_0161,556,996,864,1152,11.97984771384484,203.71389020023207,12,True,blend
image_0162,556,996,864,1152,11.81532526649212,189.51438037279104,16,True,blend
image_0163,556,996,864,1152,6.487891828826426,177.50303514077427,16,True,blend
image_0164,556,996,864,1152,12.46459152578435,193.58354540774658,14,True,blend
image_0165,556,996,864,1152,4.884869040764472,210.3739299503893,11,True,blend
image_0166,556,996,864,1152,10.932379209964393,193.54957504727057,15,True,blend
image_0167,556,996,864,1152,11.309802985571725,181.4034485130709,16,True,blend
image_0168,556,996,864,1152,11.357199809020042,223.19455682088713,15,True,blend
image_0169,556,996,864,1152,13.022780927259479,217.69145294953117,12,True,blend
image_0170,556,996,864,1152,8.908188804768425,213.955945193175,18,True,blend
image_0171,556,996,864,1152,12.992201275471563,181.53928459713697,16,True,blend
image_0172,556,996,864,1152,11.927796163694193,202.2324971453839,18,True,blend
image_0173,556,996,864,1152,6.435321809943472,181.8485917115024,6,True,blend
image_0174,556,996,864,1152,3.387977713471867,153.8885160587415,1,True,trig
image_0175,556,996,864,1152,7.158718205069846,171.40425196507667,2,True,blend
image_0176,556,996,864,1152,8.480289965804168,187.16863927468634,9,True,blend
image_0177,556,996,864,1152,13.403621876612878,202.8519593300754,6,True,blend
image_0178,556,996,864,1152,16.40308809162898,168.79257180165862,11,True,blend
image_0179,556,996,864,1152,15.076730753643771,162.5738967349725,11,True,blend
image_0180,556,996,864,1152,15.357007448955883,137.63415605719783,8,True,blend
image_0181,556,996,864,1152,10.41188136251095,217.0347841602735,13,True,blend
image_0182,556,996,864,1152,7.543407291230608,158.63170187579502,10,True,blend
image_0183,556,996,864,1152,13.352225217566541,222.88499058415962,10,True,blend
image_0184,556,996,864,1152,13.599316439305948,215.25821031224368,11,True,blend
image_0185,556,996,864,1152,13.837298013168015,200.32094082488663,5,True,blend
image_0186,556,996,864,1152,11.686749329865483,203.58315158841538,8,True,blend
image_0187,556,996,864,1152,6.980400308983803,163.2036932018187,8,True,blend
image_0188,556,996,864,1152,9.743673383367174,168.40220691987236,10,True,blend
image_0189,556,996,864,1152,15.04258166278877,183.25400910998266,9,True,blend
image_0190,556,996,864,1152,14.642240984710138,164.10876686226547,12,True,blend
image_0191,556,996,864,1152,13.622017526698535,170.27083175807914,13,True,blend
image_0192,556,996,864,1152,7.563369142230376,214.36171512580307,11,True,blend
image_0193,556,996,864,1152,11.777730202861207,156.36585394084992,8,True,blend
image_0194,556,996,864,1152,8.7794297803269,170.2137662868668,2,True,blend
image_0195,556,996,864,1152,8.481573863438317,155.96878175846126,12,True,blend
image_0196,556,996,864,1152,4.7918865736893945,128.8214550622921,3,True,blend
image_0197,556,996,864,1152,9.435422149025245,221.4091653598225,12,True,blend
image_0198,556,996,864,1152,10.049879940716135,213.06754637284962,14,True,blend
image_0199,556,996,864,1152,10.116078954442536,188.06140239437312,14,True,blend
image_0200,556,996,864,1152,6.174169059024181,142.66263757147468,6,True,blend
image_0201,556,996,864,1152,9.98885847066157,166.05376418554468,16,True,blend
image_0202,556,996,864,1152,8.74851659865746,188.95254959063527,11,True,blend
image_0203,556,996,864,1152,6.926924937836301,157.89450506824528,5,True,blend
image_0204,556,996,864,1152,5.446416130150397,189.66519550827545,8,True,blend
image_0205,556,996,864,1152,9.727036877952996,120.67269336482104,9,True,blend
image_0206,556,996,864,1152,7.037976039399657,193.74776944490577,13,True,blend
image_0207,556,996,864,1152,5.345990839368002,170.26738741252387,5,True,blend
image_0208,556,996,864,1152,7.637255421803603,170.4102367277393,12,True,blend
image_0209,556,996,864,1152,9.085875200571884,158.47045729345214,4,True,blend
image_0210,556,996,864,1152,10.890439787129738,157.0739499436631,6,True,blend
image_0211,556,996,864,1152,7.469210384464672,128.4987157030869,10,True,blend
image_0212,556,996,864,1152,,,0,False,fewer than two aponeuroses
image_0213,556,996,864,1152,5.297793609750888,167.5644917790422,5,True,blend
image_0214,556,996,864,1152,13.420672950213296,178.2327105875139,12,True,blend
image_0215,556,996,864,1152,7.574857950108542,175.7299740224894,13,True,blend
image_0216,556,996,864,1152,8.879414274104626,176.61316779034595,12,True,blend
image_0217,556,996,864,1152,10.907502846785656,187.34425598807078,13,True,blend
image_0218,556,996,864,1152,15.749187787469896,186.59252139944192,15,True,blend
image_0219,556,996,864,1152,8.490405977991553,179.50882071686658,12,True,blend
image_0220,556,996,864,1152,12.004970542839443,174.6357411976569,13,True,blend
image_0221,556,996,864,1152,6.491159915919463,168.8559719697419,16,True,blend
image_0222,556,996,864,1152,8.612822148708062,148.5600861647341,11,True,blend
image_0223,556,996,864,1152,10.795083551530052,173.79562099339043,12,True,blend
image_0224,556,996,864,1152,10.89071672440189,170.08537844544043,10,True,blend
image_0225,556,996,864,1152,9.04846466188278,222.94735879819373,15,True,blend
image_0226,556,996,864,1152,10.118408211140563,227.84610393425908,12,True,blend
image_0227,556,996,864,1152,10.71139716181318,195.06602841246706,13,True,blend
image_0228,556,996,864,1152,13.032587311625742,203.57626939441192,13,True,blend
image_0229,556,996,864,1152,10.046459612515989,243.9883968488507,17,True,blend
image_0230,556,996,864,1152,13.460298930768873,268.2933517669508,14,True,blend
image_0231,556,996,864,1152,,251.29853233495137,0,False,no usable fascicle fragments
image_0232,556,996,864,1152,9.156902942064187,185.23088378171028,17,True,blend
image_0233,556,996,864,1152,10.139584126471968,242.41643885420004,12,True,blend
image_0234,556,996,864,1152,12.534550795513965,231.0855152037183,8,True,blend
image_0235,556,996,864,1152,12.77079972980269,203.22860483767045,14,True,blend
image_0236,556,996,864,1152,7.582730175114394,211.17258407511954,16,True,blend
image_0237,556,996,864,1152,6.606512784541313,235.04107173235835,16,True,blend
image_0238,556,996,864,1152,8.732470332578306,257.13783899325193,15,True,blend
image_0239,556,996,864,1152,11.92556087066896,270.3754888040937,14,True,blend
image_0240,556,996,864,1152,12.299282656071012,211.456784577928,13,True,blend
image_0241,556,996,864,1152,12.12265023213401,232.00135745884725,14,True,blend
image_0242,556,996,864,1152,9.812505060670105,196.59279939518922,12,True,blend
image_0243,556,996,864,1152,11.83568759287719,191.16629221660196,17,True,blend
image_0244,556,996,864,1152,6.222675984004801,227.64122797323694,11,True,blend
image_0245,556,996,864,1152,11.887830448687472,220.24760757024566,10,True,blend
image_0246,556,996,864,1152,9.969285705511487,198.62864414166233,10,True,blend
image_0247,556,996,864,1152,11.599176807573377,195.83775518529762,13,True,blend
image_0248,556,996,864,1152,11.673111100824828,190.5859036048835,15,True,blend
image_0249,556,996,864,1152,14.537567221933365,225.307916314584,15,True,blend
image_0250,556,996,864,1152,10.169052553088473,206.61757271801943,11,True,blend
image_0251,556,996,864,1152,9.225595252643297,172.96556192289893,19,True,blend
image_0252,556,996,864,1152,15.570144031502707,202.1378422827505,14,True,blend
image_0253,556,996,864,1152,11.757802797899716,226.66183992847138,14,True,blend
image_0254,556,996,864,1152,12.31885161029156,192.86025354892365,15,True,blend
image_0255,556,996,864,1152,12.932354767773791,192.58175933450696,13,True,blend
image_0256,556,996,864,1152,9.926420436392139,153.79108295319097,12,True,blend
image_0257,556,996,864,1152,13.260663659297407,201.05503988668454,14,True,blend
image_0258,556,996,864,1152,11.4118291078736,202.77997357963432,13,True,blend
image_0259,556,996,864,1152,17.045941659820063,174.53661365472385,17,True,blend
image_0260,556,996,864,1152,19.440397604947275,184.82016855191011,15,True,blend
image_0261,556,996,864,1152,16.799361784540025,179.51619872968627,12,True,blend
image_0262,556,996,864,1152,12.829281865909405,184.01299407268922,11,True,blend
image_0263,556,996,864,1152,16.282916007687316,192.54436437379786,10,True,blend
image_0264,556,996,864,1152,14.33654264611698,182.98186910752838,15,True,blend
image_0265,556,996,864,1152,13.781880880810803,115.92173469434664,11,True,blend
image_0266,556,996,864,1152,14.0561248202958,195.48184312446318,18,True,blend
image_0267,556,996,864,1152,14.949447277410844,187.34148492702013,12,True,blend
image_0268,556,996,864,1152,14.736166560488062,174.41062640692962,15,True,blend
image_0269,556,996,864,1152,11.711050172114522,161.28024799859764,12,True,blend
image_0270,556,996,864,1152,8.413193771397982,186.48699915140256,18,True,blend
image_0271,556,996,864,1152,10.664947033995297,192.07424327641695,18,True,blend
image_0272,556,996,864,1152,9.764015765035623,186.22021923674743,18,True,blend
image_0273,556,996,864,1152,9.240633800985211,148.63114494003813,16,True,blend
image_0274,556,996,864,1152,11.709719800022713,186.7183313693788,19,True,blend
image_0275,556,996,864,1152,7.616935075706442,204.43236558256353,26,True,blend
image_0276,556,996,864,1152,7.365453532499868,202.0138318019758,17,True,blend
image_0277,556,996,864,1152,4.762160515725692,173.73642288412657,15,True,blend
image_0278,556,996,864,1152,12.604823806923704,185.1532653198277,18,True,blend
image_0279,556,996,864,1152,7.3246696120034,176.46640946356112,21,True,blend
image_0280,556,996,864,1152,8.895498247843204,216.79243279881777,17,True,blend
image_0281,556,996,864,1152,10.088153575708152,201.71126212829947,12,True,blend
image_0282,556,996,864,1152,6.7308889465185295,217.06194324388252,24,True,blend
image_0283,556,996,864,1152,13.3151275490723,201.88626299743555,24,True,blend
image_0284,556,996,864,1152,4.388993858802924,203.05238550075447,12,True,trig
image_0285,556,996,864,1152,10.712718124113358,218.65907914227114,18,True,blend
image_0286,556,996,864,1152,6.753950234052521,150.3764116948001,16,True,blend
image_0287,556,996,864,1152,8.620908455707195,160.8406194792172,20,True,blend
image_0288,556,996,864,1152,13.080274707893295,249.3798493949528,19,True,blend
image_0289,556,996,864,1152,12.103184322826205,218.08156290837374,19,True,blend
image_0290,556,996,864,1152,12.063065271261458,166.98074285934433,20,True,blend
image_0291,556,996,864,1152,9.722123618167352,200.3509904315821,20,True,blend
image_0292,556,996,864,1152,16.038397813453752,214.68108040905562,19,True,blend
image_0293,556,996,864,1152,13.826382883356926,167.72347821372082,22,True,blend
image_0294,556,996,864,1152,14.060336266108155,183.36554965350098,18,True,blend
image_0295,556,996,864,1152,14.041374069104439,227.34533629125326,25,True,blend
image_0296,556,996,864,1152,9.559520833611066,218.32930372920273,19,True,blend
image_0297,556,996,864,1152,13.569416103878627,252.19690233311417,20,True,blend
image_0298,556,996,864,1152,7.9779803463012255,185.42935566007748,15,True,blend
image_0299,556,996,864,1152,5.597072972871159,201.03837072691368,18,True,blend
image_0300,556,996,864,1152,6.790732437485509,236.47938743347902,9,True,blend
image_0301,556,996,864,1152,6.426383338086877,201.31745994335316,22,True,blend
image_0302,556,996,864,1152,9.753476588639204,293.7193433360312,17,True,blend
image_0303,556,996,864,1152,7.259037961153065,275.86315576409993,19,True,blend
image_0304,556,996,864,1152,6.386957279422041,211.30960526825928,13,True,blend
image_0305,556,996,864,1152,13.380718015237514,304.9968271870416,19,True,blend
image_0306,556,996,864,1152,15.42250954470018,299.14100300382466,16,True,blend
image_0307,556,996,864,1152,5.63300141000123,187.8361628656744,17,True,blend
image_0308,556,996,864,1152,9.023720277670687,244.25269536887322,16,True,blend
image_0309,556,996,864,1152,3.5082638697661377,208.67312045198213,4,True,trig
image_0310,556,996,864,1152,11.958039744872664,249.31859498022206,14,True,blend
image_0311,556,996,864,1152,14.629953890765226,167.06281350723907,16,True,blend
image_0312,556,996,864,1152,8.98801336346445,208.33945338160947,17,True,blend
image_0313,556,996,864,1152,14.951492529031608,209.5892687254908,25,True,blend
image_0314,556,996,864,1152,10.403034646233861,185.72547708474212,19,True,blend
image_0315,556,996,864,1152,8.28037877979936,174.40705739980584,16,True,blend
image_0316,556,996,864,1152,11.063063756158193,195.3067927311198,18,True,blend
image_0317,556,996,864,1152,10.369942381887064,189.33355416164645,19,True,blend
image_0318,556,996,864,1152,11.988448293200527,264.2569618157748,18,True,blend
image_0319,556,996,864,1152,9.94782095386947,265.77557716131395,16,True,blend
image_0320,556,996,864,1152,11.175908172489244,224.10882438375518,18,True,blend
image_0321,556,996,864,1152,10.64983706312628,231.11043364971158,19,True,blend
image_0322,556,996,864,1152,11.698377490319137,224.82856188793747,15,True,blend
image_0323,556,996,864,1152,6.719635096479251,216.86874736875862,17,True,blend
image_0324,556,996,864,1152,9.678932887557748,223.82479520612762,18,True,blend
image_0325,556,996,864,1152,19.34595509519795,184.9153027514759,17,True,blend
image_0326,556,996,864,1152,6.423551122135134,155.31287754883238,19,True,blend
image_0327,556,996,864,1152,15.323243610918357,201.01532030600228,13,True,blend
image_0328,556,996,864,1152,6.743750742312441,217.34537895197988,13,True,blend
image_0329,556,996,864,1152,9.952355342970975,173.85989283583785,18,True,blend
image_0330,556,996,864,1152,10.999326167501355,197.16316968675156,15,True,blend
image_0331,556,996,864,1152,11.90217079304885,223.7390279103441,13,True,blend
image_0332,556,996,864,1152,8.301188531735509,222.6130686031771,12,True,blend
image_0333,556,996,864,1152,9.158899480035458,199.38418360091356,17,True,blend
image_0334,556,996,864,1152,14.860104345835634,225.9346840415251,18,True,blend
image_0335,556,996,864,1152,16.266222495665836,224.35082146171732,11,True,blend
image_0336,556,996,864,1152,18.648339994652353,234.52943661031588,13,True,blend
image_0337,556,996,864,1152,20.627624526114516,210.5969692775781,14,True,blend
image_0338,556,996,864,1152,20.468032764164164,204.2970980816978,12,True,blend
image_0339,556,996,864,1152,15.819938946988877,180.31226052273624,12,True,blend
image_0340,556,996,864,1152,8.22341064815746,208.37304131998766,12,True,blend
image_0341,556,996,864,1152,5.301116414753672,211.92311391562967,12,True,blend
image_0342,556,996,864,1152,12.166745674420131,245.40688131193514,15,True,blend
image_0343,556,996,864,1152,10.120954798741034,223.7428024471039,17,True,blend
image_0344,556,996,864,1152,10.777708185944354,171.71521705976693,22,True,blend
image_0345,556,996,864,1152,13.730040021837707,190.53788453259554,17,True,blend
image_0346,556,996,864,1152,11.38334681419545,214.31516019090134,19,True,blend
image_0347,556,996,864,1152,10.415048146125766,230.33172292119536,19,True,blend
image_0348,556,996,864,1152,9.979326697035651,226.85361695538637,18,True,blend
image_0349,556,996,864,1152,8.657700247674494,200.26524709917067,10,True,blend
image_0350,556,996,864,1152,6.2754675869553855,150.26670943010748,15,True,blend
image_0351,556,996,864,1152,12.840374409708659,237.32339371275987,18,True,blend
image_0352,556,996,864,1152,7.510734739946232,196.96385982961039,18,True,blend
image_0353,556,996,864,1152,13.302743894924237,194.3388423120374,23,True,blend
image_0354,556,996,864,1152,8.481127173531245,242.24157554041366,19,True,blend
image_0355,556,996,864,1152,8.634879823845733,256.3127886487054,21,True,blend
image_0356,556,996,864,1152,11.550738308337396,204.62265734971845,18,True,blend
image_0357,556,996,864,1152,13.399397134607025,248.76284564332255,18,True,blend
image_0358,556,996,864,1152,11.339559838458378,224.7584882906656,14,True,blend
image_0359,556,996,864,1152,6.664716844845119,208.49838788345008,14,True,blend
image_0360,556,996,864,1152,8.998248511950202,278.3426491213279,16,True,blend
image_0361,556,996,864,1152,10.00945863199537,271.4675376909708,16,True,blend
image_0362,556,996,864,1152,10.407412471224387,232.24387217094767,18,True,blend
image_0363,556,996,864,1152,11.868728261306078,252.842063608377,16,True,blend
image_0364,556,996,864,1152,12.02245104613942,249.88242937514764,16,True,blend
image_0365,556,996,864,1152,12.503437207878521,204.12858188082808,19,True,blend
image_0366,556,996,864,1152,12.465745700337692,210.9230353959393,16,True,blend
image_0367,556,996,864,1152,5.479010001578996,232.4290475175269,14,True,blend
image_0368,556,996,864,1152,7.144943579972883,238.95785495045615,11,True,blend
image_0369,556,996,864,1152,12.940985934737235,278.0600617390516,16,True,blend
image_0370,556,996,864,1152,11.841715106127207,298.638034299288,20,True,blend
image_0371,1080,1640,864,1152,,,0,False,no plausible aponeurosis pair
image_0372,1080,1640,864,1152,13.69807120745076,509.6118788479738,16,True,blend
image_0373,1080,1640,864,1152,6.160588488219136,394.7211811385748,14,True,trig
image_0374,1080,1640,864,1152,9.394848063630818,398.91533480496463,14,True,blend
image_0375,1080,1640,864,1152,16.111790799631166,411.38812763278787,16,True,blend
